figure,evidence_type,source_class,provenance_note
Fig. 1,manual-method-diagram,author-drawn-vector-source,"Manually authored PowerPoint diagram; the background geometry branch depicts local point-to-plane regularization."
Fig. 2,manual-method-diagram,author-drawn-vector-source,"Manually authored PowerPoint diagram of object identity learning and object-level supervision."
Fig. 3,manual-method-diagram,author-drawn-vector-source,"Manually authored PowerPoint diagram of visible-background supervision, weak inpainting prior, and local geometry regularization."
Fig. 4,experimental-composite,real-input-and-reconstruction-records,"Author-assembled comparison of real inputs, instance masks, baseline renders, and DOGS renders."
Fig. 5,experimental-composite,real-input-and-reconstruction-records,"Author-assembled comparison of object-removed inputs and background reconstructions."
Fig. 6,experimental-composite,real-and-virtual-interface-records,"Author-assembled comparison of a real scene, independent object render, and selected USDZ visual-import records in Isaac Sim."
Fig. 7,experimental-composite,selected-real-and-simulation-frames,"Author-selected real and simulation frames for four object categories; source-resolution recordings and source filenames are not distributed in this repository."
Fig. 8,deterministic-statistical-plot,reported-aggregate-results,"Deterministic plot generated from the aggregate ablation values reported in the manuscript."
Fig. D.1,experimental-composite,real-input-and-reconstruction-records,"Author-assembled qualitative examples of representative applicability limits."
Project page virtual gallery,presentation-derivative,source-virtual-interaction-recordings,"Twelve metadata-stripped looping clips present scene placement, robot approach, and object interaction for four object categories."
